Ingested		
ALUMNI.APRCCMT			
ALUMNI.APRCHIS			
ALUMNI.APRCHLD			
ALUMNI.APRCOMT			
ALUMNI.APRCONF			
ALUMNI.APRCRVW			
ALUMNI.APRCSPS			
ALUMNI.APRDCCM			
ALUMNI.APRDCCP			
ALUMNI.APRDCCT			
ALUMNI.APRDCDC			
ALUMNI.APRDCDP			
ALUMNI.APRDCDS			
ALUMNI.APRDCGL			
ALUMNI.APRDCGT			
ALUMNI.APRDCHG			
ALUMNI.APRDCLB			
ALUMNI.APRDCPC			
ALUMNI.APRDCPR			
ALUMNI.APRDCRL			
ALUMNI.APRDCTM			
ALUMNI.APRDCXR			
ALUMNI.APRDHIS			
ALUMNI.APRDRVW			
ALUMNI.APRECMT			
ALUMNI.APREHIS			
ALUMNI.APRERVW			
ALUMNI.APREXCL			
ALUMNI.APRHCHG			
ALUMNI.APRIGRP			
ALUMNI.APRMAIL			
ALUMNI.APRPCMT			
ALUMNI.APRPMEM			
ALUMNI.APRPROS			
ALUMNI.APRSALU			
ALUMNI.APRSRVW			
ALUMNI.APRSUBJ			
ALUMNI.APRTCFA			
ALUMNI.APRTPFD			
ALUMNI.APRTRAN			
ALUMNI.APRVIPC			
ALUMNI.APRXREF			
ALUMNI.APTADDR			
ALUMNI.APTCHIS			
ALUMNI.APTDHIS			
ALUMNI.APTPCHN			
ALUMNI.APTTELE			
ALUMNI.ASBSORG			
ALUMNI.ASRCOMT			
ALUMNI.ASRCONT			
ALUMNI.ASRCORG			
ALUMNI.ASRSOAG			
ALUMNI.ASRSORG			
ALUMNI.ASRSSAG			
ALUMNI.ATVACAT			
ALUMNI.ATVADJT			
ALUMNI.ATVADTL			
ALUMNI.ATVALRT			
ALUMNI.ATVAMCT			
ALUMNI.ATVAMGP			
ALUMNI.ATVAMIN			
ALUMNI.ATVAMPM			
ALUMNI.ATVAMST			
ALUMNI.ATVAMTP			
ALUMNI.ATVASSC			
ALUMNI.ATVAUXL			
ALUMNI.ATVCCLS			
ALUMNI.ATVCFAE			
ALUMNI.ATVCMTP			
ALUMNI.ATVCONT			
ALUMNI.ATVCTYP			
ALUMNI.ATVDATR			
ALUMNI.ATVDCAM			
ALUMNI.ATVDCNP			
ALUMNI.ATVDCPR			
ALUMNI.ATVDCST			
ALUMNI.ATVDCYR			
ALUMNI.ATVDGRP			
ALUMNI.ATVDIST			
ALUMNI.ATVDITP			
ALUMNI.ATVDNAM			
ALUMNI.ATVDONR			
ALUMNI.ATVDOPP			
ALUMNI.ATVDOSR			
ALUMNI.ATVDOTT			
ALUMNI.ATVDOWP			
ALUMNI.ATVDSRC			
ALUMNI.ATVDSTA			
ALUMNI.ATVDSTP			
ALUMNI.ATVEMPS			
ALUMNI.ATVEXCL			
ALUMNI.ATVEXRS			
ALUMNI.ATVFISC			
ALUMNI.ATVFREQ			
ALUMNI.ATVFUND			
ALUMNI.ATVGACK			
ALUMNI.ATVGCLS			
ALUMNI.ATVGIFT			
ALUMNI.ATVGIVH			
ALUMNI.ATVGIVL			
ALUMNI.ATVIGRP			
ALUMNI.ATVINCM			
ALUMNI.ATVJOBC			
ALUMNI.ATVMACC			
ALUMNI.ATVMAST			
ALUMNI.ATVMCTL			
ALUMNI.ATVMDEF			
ALUMNI.ATVMDIS			
ALUMNI.ATVMEDU			
ALUMNI.ATVMERQ			
ALUMNI.ATVMIND			
ALUMNI.ATVMLOC			
ALUMNI.ATVMLVL			
ALUMNI.ATVMNAT			
ALUMNI.ATVMNED			
ALUMNI.ATVMOVE			
ALUMNI.ATVMPRO			
ALUMNI.ATVMPUR			
ALUMNI.ATVOCON			
ALUMNI.ATVPACK			
ALUMNI.ATVPCAT			
ALUMNI.ATVPCLS			
ALUMNI.ATVPDUR			
ALUMNI.ATVPFTP			
ALUMNI.ATVPGVE			
ALUMNI.ATVPLDG			
ALUMNI.ATVPRCD			
ALUMNI.ATVPRMD			
ALUMNI.ATVPROJ			
ALUMNI.ATVPROP			
ALUMNI.ATVPRST			
ALUMNI.ATVPRTP			
ALUMNI.ATVPSTA			
ALUMNI.ATVRATE			
ALUMNI.ATVRCAT			
ALUMNI.ATVREFR			
ALUMNI.ATVRSCR			
ALUMNI.ATVRSTA			
ALUMNI.ATVRTGT			
ALUMNI.ATVSALU			
ALUMNI.ATVSCNT			
ALUMNI.ATVSCRS			
ALUMNI.ATVSCTG			
ALUMNI.ATVSGRP			
ALUMNI.ATVSICC			
ALUMNI.ATVSOLC			
ALUMNI.ATVSOLT			
ALUMNI.ATVSORC			
ALUMNI.ATVSOTP			
ALUMNI.ATVSRCE			
ALUMNI.ATVSSTA			
ALUMNI.ATVSTFT			
ALUMNI.ATVTAPE			
ALUMNI.ATVTPFD			
ALUMNI.ATVUSRC			
ALUMNI.ATVVIPC			
ALUMNI.ATVXREF			
ALUMNI.AUBCDEF			
ALUMNI.AUBCMAP			
ALUMNI.AUBCTRL			
ALUMNI.AUBDGIN			
ALUMNI.AUBIGRP			
ALUMNI.AUBINST			
ALUMNI.AUBMBIN			
ALUMNI.AUBPYIN			
ALUMNI.AUBSCHD			
ALUMNI.AUBTRAR			
ALUMNI.AUBTRIN			
ALUMNI.AUBTROT			
ALUMNI.AUBTRST			
ALUMNI.AURALRT			
ALUMNI.AURCDEF			
ALUMNI.AURCMAP			
ALUMNI.AURTRST			
ALUMNI.AURVERS			
ALUMNI.AXBMGID			
ALUMNI.AXRDCPT			
ALUMNI.AXRMCAM			
ALUMNI.AXRMDES			
ALUMNI.AXRMGRN			
ALUMNI.AXRMSOL			
ALUMNI.EXCEPTIONS			
ALUMNI.GJBJOBS_INSTALL			
ALUMNI.GJBPDEF_INSTALL			
ALUMNI.GJBPDFT_INSTALL			
ALUMNI.GJBPVAL_INSTALL			
ALUMNI.GOBFEOB_INSTALL			
ALUMNI.GUBBFKY_INSTALL			
ALUMNI.GUBBHLP_INSTALL			
ALUMNI.GUBOBJS_INSTALL			
ALUMNI.GURAOBJ_INSTALL			
ALUMNI.GURBFKY_INSTALL			
ALUMNI.GURDMOD_INSTALL			
ALUMNI.GURMENU_INSTALL			
ALUMNI.GUROPTM_INSTALL			
ALUMNI.OLD_STATS			
ALUMNI.TWGBWMNU_CONVERT			
ALUMNI.TWGRINFO_CONVERT			
ALUMNI.TWGRMENU_CONVERT			
ALUMNI.TWGRWMRL_CONVERT			
ALUMNI.TWGRWMRL_ROLES			
AVOWOBJ.WTRTRCO			
AVOWOBJ.WTRTREX			
AVOWOBJ.WTRTRHD			
AVOWOBJ.WTRTRHL			
AVOWOBJ.WTRTRTA			
AVOWOBJ.WTRTRTO			
AVOWOBJ.WTRTRTT			
AVOWOBJ.WTVTRTG			
BANSECR.EXCEPTIONS			
BANSECR.GJRINVC			
BANSECR.GTVCALN			
BANSECR.GTVCLAS			
BANSECR.GTVOWNG			
BANSECR.GTVSGRP			
BANSECR.GTVVPDI			
BANSECR.GUBAROL			
BANSECR.GUBIPRF			
BANSECR.GUBROLE			
BANSECR.GURAAOB			
BANSECR.GURAATB			
BANSECR.GURABGP			
BANSECR.GURABPI			
BANSECR.GURABPR			
BANSECR.GURACAL			
BANSECR.GURACES			
BANSECR.GURACGP			
BANSECR.GURACLS			
BANSECR.GURADMN			
BANSECR.GURADPI			
BANSECR.GURADPL			
BANSECR.GURADSU			
BANSECR.GURAEAC			
BANSECR.GURAEOB			
BANSECR.GURAGAC			
BANSECR.GURAGBP			
BANSECR.GURAGUS			
BANSECR.GURAINV			
BANSECR.GURAIPF			
BANSECR.GURALGN			
BANSECR.GURALOG			
BANSECR.GURAMSK			
BANSECR.GURAOBJ			
BANSECR.GURAOGP			
BANSECR.GURAOWG			
BANSECR.GURAOWN			
BANSECR.GURAPRD			
BANSECR.GURAPUD			
BANSECR.GURASGR			
BANSECR.GURATAB			
BANSECR.GURAUGP			
BANSECR.GURAULG			
BANSECR.GURAUOB			
BANSECR.GURAUSI			
BANSECR.GURAUTB			
BANSECR.GURAVCL			
BANSECR.GURAVOG			
BANSECR.GURBGRP			
BANSECR.GURCALN			
BANSECR.GURCGRP			
BANSECR.GURDSUR			
BANSECR.GURLOGN			
BANSECR.GUROGRP			
BANSECR.GUROWNG			
BANSECR.GUROWNR			
BANSECR.GURROLP			
BANSECR.GURSQLL			
BANSECR.GURUCLS			
BANSECR.GURUGRP			
BANSECR.GURUOBJ			
BANSECR.GURUSRI			
BANSECR.GURUSRP			
BANSECR.GURUTAB			
BANSECR.OLD_STATS			
DEVRYACD.ACADSTND_ACTIVITY_DATES			
DEVRYACD.ADM_ACTIVITY_DATES			
DEVRYACD.ATTR_ACTIVITY_DATES			
DEVRYACD.BANNER_OUT_ACD_QT			
DEVRYACD.BANNER_OUT_CRS_SCHED_QT			
DEVRYACD.BATCH_JOB_EXECUTION			
DEVRYACD.BATCH_JOB_EXECUTION_BKP			
DEVRYACD.BATCH_JOB_EXECUTION_CONTEXT			
DEVRYACD.BATCH_JOB_EXECUTION_CTX_BKP			
DEVRYACD.BATCH_JOB_INSTANCE			
DEVRYACD.BATCH_JOB_INSTANCE_BKP			
DEVRYACD.BATCH_JOB_PARAMS			
DEVRYACD.BATCH_JOB_PARAMS_BKP			
DEVRYACD.BATCH_STEP_EXECUTION			
DEVRYACD.BATCH_STEP_EXECUTION_BKP			
DEVRYACD.BATCH_STEP_EXECUTION_CONTEXT			
DEVRYACD.BATCH_STEP_EXECUTION_CTX_BKP			
DEVRYACD.BNR9_UAT_USERS			
DEVRYACD.BNR9_UAT_USERS_NEW			
DEVRYACD.BNROUT_STUDENT_CR_QT			
DEVRYACD.BNR_TO_DGW_CROSSWALK			
DEVRYACD.BNR_TO_DGW_SECURITY			
DEVRYACD.BNR_TO_PROSAM_ADMISSIONS			
DEVRYACD.BNR_TO_PROSAM_ADMISSIONS_DEBUG			
DEVRYACD.BNR_TO_PROSAM_ADMISSIONS_TEMP			
DEVRYACD.BNR_TO_PROSAM_ATTRIBUTES			
